Germany-2018,Export,Footwear,Italy,644656.27
Germany-2018,Export,Footwear,Austria,561752.18
Germany-2018,Export,Footwear,Spain,331643.77
Germany-2018,Export,Footwear,Slovak Republic,300257.01
Germany-2018,Export,Footwear,Belgium,295270.97
Germany-2018,Export,Stone and Glass,Switzerland,3154211.29
Germany-2018,Export,Stone and Glass,United States,2900356.86
Germany-2018,Export,Stone and Glass,France,2874028.71
Germany-2018,Export,Stone and Glass,United Kingdom,2792802.85
Germany-2018,Export,Stone and Glass,Austria,1853665.75
Germany-2018,Export,Stone and Glass,Netherlands,1447770.38
Germany-2018,Export,Stone and Glass,Italy,1372643.29
Germany-2018,Export,Stone and Glass,Poland,1326152.59
Germany-2018,Export,Stone and Glass,Belgium,1226625.43
Germany-2018,Export,Stone and Glass,China,1202408.56
Germany-2018,Export,Metals,France,10426159.16
Germany-2018,Export,Metals,Austria,8473212.83
Germany-2018,Export,Metals,Poland,8471213.18
Germany-2018,Export,Metals,Netherlands,8287139.84
Germany-2018,Export,Metals,Italy,8028022.14
Germany-2018,Export,Metals,United States,7127789.35
Germany-2018,Export,Metals,United Kingdom,6022680.46
Germany-2018,Export,Metals,Switzerland,5850922.85
Germany-2018,Export,Metals,Czech Republic,5840923.81
Germany-2018,Export,Metals,China,5744911.92
Germany-2018,Export,Mach and Elec,China,41218346.72
Germany-2018,Export,Mach and Elec,United States,40394979.6
Germany-2018,Export,Mach and Elec,France,27941019.08
Germany-2018,Export,Mach and Elec,United Kingdom,22133832.95
Germany-2018,Export,Mach and Elec,Netherlands,21071340.2
Germany-2018,Export,Mach and Elec,Italy,19900332.1
Germany-2018,Export,Mach and Elec,Poland,19120540.02
Germany-2018,Export,Mach and Elec,Austria,18808598.73
Germany-2018,Export,Mach and Elec,Czech Republic,18394107.85
Germany-2018,Export,Mach and Elec,Spain,14582335.38
Germany-2018,Export,Transportation,United States,34395075.13
Germany-2018,Export,Transportation,China,33567337.53
Germany-2018,Export,Transportation,France,31121853.31
Germany-2018,Export,Transportation,United Kingdom,30939195.3
Germany-2018,Export,Transportation,Italy,15181200.55
Germany-2018,Export,Transportation,Spain,11394245.94
Germany-2018,Export,Transportation,Netherlands,9892425.82
Germany-2018,Export,Transportation,Austria,9324594.32
Germany-2018,Export,Transportation,Belgium,8952416.62
Germany-2018,Export,Transportation,Poland,8951201.22
Germany-2018,Export,Miscellaneous,United States,15818512.12
Germany-2018,Export,Miscellaneous,China,12386197.1
Germany-2018,Export,Miscellaneous,France,12354916.92
Germany-2018,Export,Miscellaneous,Netherlands,10582917.4
Germany-2018,Export,Miscellaneous,United Kingdom,8088126.19
Germany-2018,Export,Miscellaneous,Italy,7912807.71
Germany-2018,Export,Miscellaneous,Poland,7471464.02
Germany-2018,Export,Miscellaneous,Austria,7360731.64
Germany-2018,Export,Miscellaneous,Switzerland,6822252.75
Germany-2018,Export,Miscellaneous,Spain,5169707.68
Germany-2018,Export,Agricultural Raw Materials,Austria,1194906.52
Germany-2018,Export,Agricultural Raw Materials,Netherlands,1090689.19
Germany-2018,Export,Agricultural Raw Materials,France,896344.96
Germany-2018,Export,Agricultural Raw Materials,Italy,564716.69
Germany-2018,Export,Agricultural Raw Materials,United States,551204.38
Germany-2018,Export,Agricultural Raw Materials,Poland,539395.77
Germany-2018,Export,Agricultural Raw Materials,China,508101.39
Germany-2018,Export,Agricultural Raw Materials,United Kingdom,390779.71
Germany-2018,Export,Agricultural Raw Materials,Belgium,389779.35
Germany-2018,Export,Agricultural Raw Materials,Switzerland,386552.72
Germany-2018,Export,Food,Netherlands,11293415.08
Germany-2018,Export,Food,France,7390351.43
Germany-2018,Export,Food,Italy,6887310.68
Germany-2018,Export,Food,Austria,5800669.22
Germany-2018,Export,Food,United Kingdom,5483773.92
Germany-2018,Export,Food,Poland,5237410.54
Germany-2018,Export,Food,Belgium,4002442.75
Germany-2018,Export,Food,Spain,3332516.92
Germany-2018,Export,Food,Denmark,3068714.22
Germany-2018,Export,Food,Switzerland,2349085.26
Germany-2018,Export,Manufactures,United States,125306673.1
Germany-2018,Export,Manufactures,France,106555085.7
Germany-2018,Export,Manufactures,China,104430332.8
Germany-2018,Export,Manufactures,United Kingdom,83317447.59
Germany-2018,Export,Manufactures,Netherlands,75743096.48
Germany-2018,Export,Manufactures,Italy,67556605.55
